       62           8.64000000E+04   6.00000000E-01   5.00000000E-01  -2.77555756E-19
       73           8.64000000E+04   6.00000000E-01   6.00000000E-01   0.00000000E+00
       84           8.64000000E+04   6.00000000E-01   7.00000000E-01  -3.70074342E-19
       95           8.64000000E+04   6.00000000E-01   8.00000000E-01   0.00000000E+00
      106           8.64000000E+04   6.00000000E-01   9.00000000E-01  -1.11022302E-18
      117           8.64000000E+04   6.00000000E-01   1.00000000E+00  -3.14563190E-18
        8           8.64000000E+04   7.00000000E-01   0.00000000E+00   3.70074342E-19
       19           8.64000000E+04   7.00000000E-01   1.00000000E-01   3.70074342E-18
       30           8.64000000E+04   7.00000000E-01   2.00000000E-01   6.19874522E-18
       41           8.64000000E+04   7.00000000E-01   3.00000000E-01   2.22044605E-18
       52           8.64000000E+04   7.00000000E-01   4.00000000E-01   9.25185854E-20
       63           8.64000000E+04   7.00000000E-01   5.00000000E-01   9.25185854E-19
       74           8.64000000E+04   7.00000000E-01   6.00000000E-01  -2.77555756E-19
       85           8.64000000E+04   7.00000000E-01   7.00000000E-01  -9.25185854E-19
       96           8.64000000E+04   7.00000000E-01   8.00000000E-01  -4.62592927E-19
      107           8.64000000E+04   7.00000000E-01   9.00000000E-01  -8.32667268E-19
      118           8.64000000E+04   7.00000000E-01   1.00000000E+00   0.00000000E+00
        9           8.64000000E+04   8.00000000E-01   0.00000000E+00   2.77555756E-18
       20           8.64000000E+04   8.00000000E-01   1.00000000E-01   3.51570624E-18
       31           8.64000000E+04   8.00000000E-01   2.00000000E-01   3.70074342E-18
       42           8.64000000E+04   8.00000000E-01   3.00000000E-01   2.49800181E-18
       53           8.64000000E+04   8.00000000E-01   4.00000000E-01   9.25185854E-19
       64           8.64000000E+04   8.00000000E-01   5.00000000E-01   0.00000000E+00
       75           8.64000000E+04   8.00000000E-01   6.00000000E-01   1.11022302E-18
       86           8.64000000E+04   8.00000000E-01   7.00000000E-01  -1.85037171E-19
       97           8.64000000E+04   8.00000000E-01   8.00000000E-01  -1.01770444E-18
      108           8.64000000E+04   8.00000000E-01   9.00000000E-01  -1.29526020E-18
      119           8.64000000E+04   8.00000000E-01   1.00000000E+00  -3.88578059E-18
       10           8.64000000E+04   9.00000000E-01   0.00000000E+00  -2.03540888E-18
       21           8.64000000E+04   9.00000000E-01   1.00000000E-01   1.29526020E-18
       32           8.64000000E+04   9.00000000E-01   2.00000000E-01   3.70074342E-18
       43           8.64000000E+04   9.00000000E-01   3.00000000E-01   3.23815049E-18
       54           8.64000000E+04   9.00000000E-01   4.00000000E-01   3.70074342E-19
       65           8.64000000E+04   9.00000000E-01   5.00000000E-01  -7.40148683E-19
       76           8.64000000E+04   9.00000000E-01   6.00000000E-01   8.32667268E-19
       87           8.64000000E+04   9.00000000E-01   7.00000000E-01  -2.77555756E-19
       98           8.64000000E+04   9.00000000E-01   8.00000000E-01  -2.03540888E-18
      109           8.64000000E+04   9.00000000E-01   9.00000000E-01  -2.40548322E-18
      120           8.64000000E+04   9.00000000E-01   1.00000000E+00  -1.66533454E-18
       11           8.64000000E+04   1.00000000E+00   0.00000000E+00   2.59052039E-18
       22           8.64000000E+04   1.00000000E+00   1.00000000E-01   1.29526020E-18
       33           8.64000000E+04   1.00000000E+00   2.00000000E-01   1.85037171E-18
       44           8.64000000E+04   1.00000000E+00   3.00000000E-01   3.88578059E-18
       55           8.64000000E+04   1.00000000E+00   4.00000000E-01   1.85037171E-19
       66           8.64000000E+04   1.00000000E+00   5.00000000E-01  -1.66533454E-18
       77           8.64000000E+04   1.00000000E+00   6.00000000E-01   2.40548322E-18
       88           8.64000000E+04   1.00000000E+00   7.00000000E-01   3.70074342E-19
       99           8.64000000E+04   1.00000000E+00   8.00000000E-01  -3.33066907E-18
      110           8.64000000E+04   1.00000000E+00   9.00000000E-01  -1.66533454E-18
      121           8.64000000E+04   1.00000000E+00   1.00000000E+00  -1.11022302E-18
